ID,Klassenbezeichnung
NULL,"1. Kindergarten"
NULL,"2. Kindergarten"
NULL,"1. Klasse"
NULL,"2. Klasse"
NULL,"3. Klasse"
NULL,"4. Klasse"
NULL,"5. Klasse"
NULL,"6. Klasse"
